code,question,question_type,standard_answer,importance_score,occurrence_count
,评测数据集为什么要版本化？,评测、观测与质量保障,评测数据集版本化是为了让评测结果可复现、可比较、可审计。样本、参考答案、证据、评分规则、标签、权重或数据划分变化都会影响分数，因此每次变更都应生成版本并记录原因、负责人和时间。还要区分训练/调参集、验证集、回归集和盲测集，控制访问权限，避免团队围绕同一测试集反复优化导致过拟合和虚高分。,50.2,14
,小而精的 Eval Set 如何设计？,评测、观测与质量保障,小而精的 Eval Set 应优先覆盖高频业务问题、核心流程、关键风险、长尾边界、空召回、权限隔离、安全攻击和历史失败案例。每条样本都应包含输入、期望输出、参考证据、评分规则、标签和难度等级，便于按问题类型归因。样本数量不必一开始很大，但要代表性强、质量高、可版本化，并随着线上坏例持续迭代。,48.6,13
,什么时候必须人工复核？,评测、观测与质量保障,必须人工复核的场景包括高风险决策、不可逆操作、涉及金钱或法律责任、医疗/金融/合规建议、模型低置信度、证据不足、自动评测分歧大、新功能灰度期和用户投诉样本。人工复核不只是兜底，还承担责任确认、样本校准和风险控制作用。复核结果应记录到审计日志，并回流到评测集、规则库和模型改进流程。,47.0,12
,评测样本泄漏会造成什么问题？,评测、观测与质量保障,评测样本泄漏会导致模型、Prompt 或检索参数对测试集过拟合，使离线分数看起来很高，但真实线上效果没有提升。常见泄漏包括把测试集答案放进训练数据、Few-shot 示例或调参过程中反复针对测试集优化。解决方式是隔离训练集、验证集和测试集，控制评测集访问权限，并定期使用新鲜线上样本做盲测。,47.0,12
,AI 应用如何保护数据隐私？,安全、合规与成本治理,AI 应用保护数据隐私要覆盖采集、传输、检索、模型调用、工具调用、日志、评测集、缓存和长期记忆全链路。核心措施包括最小化采集、租户隔离、访问控制、加密传输与存储、PII 脱敏、供应商数据策略审查、留存期限和删除机制。还要避免把密钥、内部规则或敏感原文写入 Prompt、日志、缓存和可被模型复述的上下文。,75.0,30
,PII 脱敏应该在什么阶段做？,安全、合规与成本治理,PII 脱敏应在多个关键阶段做：模型调用前、日志入库前、评测数据沉淀前、工具结果返回模型前、数据对外导出前。对任务必须使用的敏感字段，可采用占位符、哈希、局部保留、令牌化或受控解密，而不是一律删除导致任务不可用。脱敏策略要按字段类型和业务风险分级，并记录谁在什么场景下访问过原始数据。,73.4,29
,Prompt Injection 的防护体系如何设计？,安全、合规与成本治理,Prompt Injection 防护要采用分层体系，而不是只靠模型自觉。系统指令和开发者指令应高于外部内容，网页、文档、邮件和工具返回必须标记为不可信数据；工具调用要做服务端鉴权、参数校验和最小权限；RAG 文档要做来源审核和恶意指令扫描；高风险动作需要人工审批。还应通过红队样本和回归测试持续验证防护效果。,71.8,28
,RAG 中如何防止越权检索？,安全、合规与成本治理,RAG 防止越权检索的关键是在检索前由服务端强制注入权限过滤条件，例如 tenant_id、用户、部门、角色、文档 ACL、密级、生效范围和有效期。向量检索、全文检索、Rerank 候选、缓存和引用返回都必须遵守同一权限边界。不能先全库召回再要求模型不要说，因为内容一旦进入上下文，就已经发生潜在数据泄露。,71.8,28
,RAG 数据投毒是什么？,安全、合规与成本治理,RAG 数据投毒是指恶意、错误或被篡改的内容进入知识库或索引后，诱导模型输出错误结论、泄露信息或调用危险工具。它可能来自不可信网页、上传文档、供应链内容或内部被污染数据。防护措施包括来源白名单、文档签名、内容安全扫描、索引前审核、权限隔离、版本回滚、低可信来源降权，以及生成阶段的证据一致性校验。,70.3,27
,工具越权执行如何防止？,安全、合规与成本治理,防止工具越权执行的核心是：模型输出不能被视为授权。服务端必须根据真实用户身份、租户、角色、资源范围和工具 scope 做鉴权，并对参数做 JSON Schema、业务规则、幂等和风险校验。写操作、高风险操作或不可逆操作应要求用户确认或人工审批，同时记录工具名、参数、影响范围、审批人和执行结果，便于审计与追责。,68.7,26
,高风险动作为什么需要审批和 Human-in-the-loop？,安全、合规与成本治理,高风险动作需要审批，是因为模型可能误解用户意图、受到注入影响，或者生成了看似合理但实际危险的参数。像转账、删除数据、发外部邮件、提交审批这类动作，一旦执行就很难完全回滚，所以必须让人看到工具名、参数、影响范围和理由后再确认。Human-in-the-loop 的价值不是降低自动化，而是把责任边界放在正确的位置。,67.1,25
,AI 应用合规审计需要记录什么？,安全、合规与成本治理,AI 应用合规审计应记录用户身份、租户、请求时间、输入摘要、检索来源、权限判断、工具调用、模型版本、Prompt 版本、输出结果、人工审批、错误码、trace_id 和关键配置版本。敏感字段可以脱敏、加密或短期留存，但链路信息必须完整。这样在投诉、事故、合规检查或越权排查时，才能还原系统当时依据什么做了什么。,65.5,24
,Token 预算和租户配额如何设计？,安全、合规与成本治理,Token 预算和租户配额应同时控制单次请求成本和长期使用成本。单次请求可以限制最大上下文、最大输出、Top-K 和工具数量；租户维度可以设置每日、每月 Token 额度、并发额度和高成本功能额度。系统应在请求前做预算预估，请求后记录真实 usage，并在接近额度时告警、降级或限流。这样可以防止单个租户异常使用拖垮整体成本和服务稳定性。,63.9,23
,大模型成本优化有哪些常用手段？,安全、合规与成本治理,大模型成本优化可以从模型、上下文、调用链路和治理四层入手。模型层使用模型路由、大小模型分工、批处理和蒸馏；上下文层减少无关历史、压缩证据、按需加载工具 schema；调用链路层使用 Prompt 缓存、响应缓存、Embedding/Rerank 缓存、减少无效重试；治理层按租户和功能设置配额、预算告警和降级策略。优化时要同时监控质量，不能只压成本。,63.9,23
,敏感输出过滤如何做？,安全、合规与成本治理,敏感输出过滤应覆盖生成前、生成中和生成后三个阶段。生成前做用户身份、权限、输入分类和敏感信息识别；生成中通过系统指令、工具 scope 和最小权限限制高风险行为；生成后检测隐私字段、越权引用、违规内容、密钥和高风险建议。过滤不能只依赖关键词，应结合规则、分类模型、业务权限和人工复核，并记录拦截原因用于审计和调优。,62.3,22
,AI 生成内容的版权和来源如何处理？,安全、合规与成本治理,AI 生成内容涉及版权和来源时，应区分内部知识、授权资料、公开资料和用户上传内容。RAG 场景应返回引用，让用户知道答案依据，并确保引用内容在用户权限和授权范围内；外部资料要遵守转载、商标、许可和使用范围。商业发布前应做人工审核、相似度检查和来源核对，避免大段复现受保护内容、错误署名或不当引用。,60.7,21
,日志留存和删除策略如何设计？,安全、合规与成本治理,日志留存和删除策略需要平衡排障、审计、隐私和成本。普通调试日志可短期留存，合规审计日志按法规和公司制度留存，敏感原文尽量脱敏、加密或不存。用户删除或合规删除请求应覆盖会话、上传文件、向量索引、缓存、评测数据、备份和派生摘要，并记录删除任务状态、完成时间、责任人和不可立即删除的原因。,59.1,20
,AI 红队测试应该覆盖哪些攻击？,安全、合规与成本治理,AI 红队测试应覆盖越狱、Prompt Injection、间接注入、RAG 数据投毒、越权检索、敏感信息泄露、危险工具误调用、拒答绕过、多轮诱导、社会工程和成本消耗攻击。对 Agent 系统还要测试重复执行、审批绕过、参数篡改和工具返回恶意指令。红队样本应进入安全回归集，每次模型、Prompt、工具或知识库变更后重新验证。,57.5,19
,如何评估模型供应商的数据使用策略？,安全、合规与成本治理,评估模型供应商的数据使用策略时，应关注输入输出是否留存、是否用于训练、默认保留时长、数据存储区域、跨境传输、加密方式、访问控制、删除机制、审计能力、子处理方和合规认证。敏感业务应优先选择企业级协议、零数据训练承诺或私有化方案，并在技术上做最小化传输、脱敏、密钥隔离和访问审计。不能只看模型效果和价格。,57.5,19
,如何防止模型泄露内部数据？,安全、合规与成本治理,防止模型泄露内部数据的关键是控制数据进入上下文和输出通道。RAG 检索必须按真实用户身份做权限过滤，Prompt、日志和工具返回中不能包含密钥或不必要的敏感规则；缓存、长期记忆和向量库要支持过期、查看、纠错和删除。输出侧还要做敏感信息检测、引用校验和越权内容拦截，确保模型不会把用户无权访问的内部资料说出来。,55.9,18
,多租户 AI 系统如何做隔离？,安全、合规与成本治理,多租户 AI 系统要在数据、索引、权限、密钥、缓存、日志、评测数据、模型配置和配额上做隔离。索引层可选择每租户 collection、共享 collection 加 tenant_id 强过滤或混合模式；无论哪种方式，权限过滤都必须由服务端强制执行。缓存 Key、Trace 查询、工具调用和成本统计也要带租户边界，避免跨租户数据串用。,54.3,17
,AI 功能风险分级如何设计？,安全、合规与成本治理,AI 功能风险分级可以从数据敏感度、动作可逆性、影响范围、自动化程度和错误后果五个维度评估。低风险如文案润色和公开资料总结，中风险如内部知识问答和辅助分析，高风险如财务、法律、医疗建议、权限变更和自动执行写操作。不同等级应配置不同控制：评测阈值、权限隔离、人工审批、审计日志、灰度范围、回滚和事故响应。,52.8,16
,AI 应用监控告警应该覆盖哪些风险？,安全、合规与成本治理,AI 应用监控告警应覆盖质量、工程、安全和成本四类风险。质量包括幻觉率、引用失败和满意度下降；工程包括错误率、超时、P95 延迟和供应商故障；安全包括越权拦截、敏感信息命中和 Prompt Injection 攻击；成本包括 Token 和费用突增。告警应能定位到模型版本、Prompt 版本、知识库、租户和功能模块。,51.2,15
,AI 应用上线检查清单应该包含什么？,安全、合规与成本治理,AI 应用上线检查清单应覆盖质量、工程、安全、合规和运营五类。质量上要完成 Golden Set、历史 Trace、RAG 忠实度、引用准确率和结构化输出评测；工程上要有超时、重试、限流、降级、回滚、监控告警和成本统计；安全合规上要检查权限隔离、PII 脱敏、工具审批、审计日志、数据留存删除和红队测试；运营上要准备人工复核、用户反馈、事故响应和持续评测闭环。,49.6,14
